# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
496.2 (0,0,0)
496.4 (0,0,0)
496.6 (0,0,0)
496.8 (0,0,0)
497 (0,0,0)
497.2 (0,0,0)
497.4 (0,0,0)
497.6 (0,0,0)
497.8 (0,0,0)
498 (0,0,0)
498.2 (0,0,0)
498.4 (0,0,0)
498.6 (0,0,0)
498.8 (0,0,0)
499 (0,0,0)
499.2 (0,0,0)
499.4 (0,0,0)
499.6 (0,0,0)
499.8 (0,0,0)
500 (0,0,0)
500.2 (0,0,0)
500.4 (0,0,0)
500.6 (0,0,0)
500.8 (0,0,0)
501 (0,0,0)
501.2 (0,0,0)
501.4 (0,0,0)
501.6 (0,0,0)
501.8 (0,0,0)
502 (0,0,0)
502.2 (0,0,0)
502.4 (0,0,0)
502.6 (0,0,0)
502.8 (0,0,0)
503 (0,0,0)
503.2 (0,0,0)
503.4 (0,0,0)
503.6 (0,0,0)
503.8 (0,0,0)
504 (0,0,0)
504.2 (0,0,0)
504.4 (0,0,0)
504.6 (0,0,0)
504.8 (0,0,0)
505 (0,0,0)
505.2 (0,0,0)
505.4 (0,0,0)
505.6 (0,0,0)
505.8 (0,0,0)
506 (0,0,0)
506.2 (0,0,0)
506.4 (0,0,0)
506.6 (0,0,0)
506.8 (0,0,0)
507 (0,0,0)
507.2 (0,0,0)
507.4 (0,0,0)
507.6 (0,0,0)
507.8 (0,0,0)
508 (0,0,0)
508.2 (0,0,0)
508.4 (0,0,0)
508.6 (0,0,0)
508.8 (0,0,0)
509 (0,0,0)
509.2 (0,0,0)
509.4 (0,0,0)
509.6 (0,0,0)
509.8 (0,0,0)
510 (0,0,0)
510.2 (0,0,0)
510.4 (0,0,0)
510.6 (0,0,0)
510.8 (0,0,0)
511 (0,0,0)
511.2 (0,0,0)
511.4 (0,0,0)
511.6 (0,0,0)
511.8 (0,0,0)
512 (0,0,0)
512.2 (0,0,0)
512.4 (0,0,0)
512.6 (0,0,0)
512.8 (0,0,0)
513 (0,0,0)
513.2 (0,0,0)
513.4 (0,0,0)
513.6 (0,0,0)
513.8 (0,0,0)
514 (0,0,0)
514.2 (0,0,0)
514.4 (0,0,0)
514.6 (0,0,0)
514.8 (0,0,0)
515 (0,0,0)
515.2 (0,0,0)
515.4 (0,0,0)
515.6 (0,0,0)
515.8 (0,0,0)
516 (0,0,0)
516.2 (7.53840242615546e-13,2.33891351688497e-12,3.37707152609146e-11)
516.4 (-4.19727955056283e-12,-8.75081150380812e-12,-1.04966565025325e-10)
516.6 (-3.5292057155282e-12,-5.6467330392277e-12,-8.02936787558717e-11)
516.8 (-1.95989859764405e-11,2.62809765906301e-11,2.7476935710449e-10)
517 (-5.6328369900775e-11,4.69591657321722e-11,5.3230501013049e-10)
517.2 (-1.99469024404462e-11,1.88007820171464e-11,1.75639653799278e-10)
517.4 (3.53037073761306e-11,-3.87462254179593e-12,-4.24032233099985e-11)
517.6 (-3.14419313339683e-11,-1.43315152237915e-13,-5.23090437317575e-12)
517.8 (5.50376546566056e-11,2.34512071187916e-12,2.5855977333114e-11)
518 (-3.09765592792592e-11,-3.08125116843993e-12,-3.46908863643018e-11)
518.2 (-1.41485218622393e-11,-2.19564085932702e-12,-2.44745986529078e-11)
518.4 (-2.94783349023741e-11,-2.44039927289291e-12,-2.52500092102829e-11)
518.6 (1.83238537247647e-12,3.40277166355361e-12,3.69326862970795e-11)
518.8 (-2.90661128566473e-11,-5.57889283840283e-12,-6.23226507406753e-11)
519 (4.67374551648727e-11,5.88981637792383e-12,6.35442365138731e-11)
519.2 (-1.51640284697943e-11,-2.59256793433683e-12,-3.13861790349535e-11)
519.4 (-4.30104354302636e-11,-1.68560624809235e-12,-1.77989295688393e-11)
519.6 (2.75619775989372e-11,5.55433357873125e-12,6.37008757510791e-11)
519.8 (-1.04888658582429e-11,-1.71079458805098e-12,-2.02791594236443e-11)
520 (1.90466554589373e-11,-7.68586512786564e-13,-8.45365122268237e-12)
520.2 (4.0191472707538e-14,3.18123500447786e-12,3.34791723435451e-11)
520.4 (4.38214053002249e-11,7.23700369216427e-13,7.73263341795679e-12)
520.6 (-4.37443436585637e-11,-2.02181385805964e-12,-2.14998647894204e-11)
520.8 (-7.55366407434235e-11,2.02209283220845e-12,1.62698957627411e-11)
521 (9.65234027854413e-11,1.57664418401904e-12,1.6966553085454e-11)
521.2 (-1.07723331191266e-10,-4.6829774995413e-12,-5.24031108926123e-11)
521.4 (1.22793411514174e-10,4.95935757770671e-12,6.00857232428019e-11)
521.6 (-8.652103638206e-11,-6.3775032245346e-13,-5.6584292752069e-12)
521.8 (2.06639498563611e-11,-1.71468859407768e-12,-2.47769036415186e-11)
522 (-1.09623225905943e-11,-2.52713928713884e-12,-2.78064549139794e-11)
522.2 (5.57000065750623e-11,-2.99578701817369e-12,-3.40633938670023e-11)
522.4 (2.97413825733114e-11,4.71773309313168e-12,5.56539282615798e-11)
522.6 (-9.057903505643e-11,9.95250726464553e-12,1.0809477581047e-10)
522.8 (-3.85544977783641e-11,-1.10355739304725e-12,-1.77180434740859e-11)
523 (1.27665668563375e-10,-6.77863689106346e-13,-1.200930241287e-11)
523.2 (-3.81137096284834e-11,-8.5106843536721e-12,-8.97807626541472e-11)
523.4 (-6.69285060582643e-12,-1.75919770324971e-12,-2.26692209962744e-11)
523.6 (-5.84462504912423e-12,5.42243043427607e-12,5.79736645689981e-11)
523.8 (1.46375972021716e-10,-2.87848234458592e-12,-3.56041477888337e-11)
524 (5.70140246856326e-11,5.30962150871832e-13,1.33958472169477e-11)
524.2 (-1.84731075859899e-10,2.75010287565306e-12,1.67529666936777e-11)
524.4 (4.70581145380325e-11,9.74821537801041e-12,1.14346363429108e-10)
524.6 (-1.87220705864339e-11,2.45722596736914e-12,1.59094718345574e-11)
524.8 (-6.71128794688529e-12,-4.97439600411339e-12,-5.33933273268296e-11)
525 (4.43168042365696e-12,-4.88538602924454e-12,-4.86433076703667e-11)
525.2 (2.34617952130862e-10,4.65228903521309e-13,1.46628939781112e-11)
525.4 (-3.05530841768965e-10,-9.64654585875148e-13,-2.93440238841763e-11)
525.6 (2.81585361081814e-10,-5.05487909147508e-13,1.51385393095251e-11)
525.8 (-2.49805528292722e-10,2.58776326695108e-12,1.40864689631897e-11)
526 (-4.40445002421563e-11,-9.6597273072112e-12,-1.14202648074306e-10)
