# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
526 (4.50053507341489e-11,-5.97840006506958e-12,-6.39733816438504e-11)
526.2 (-7.95861933974149e-11,8.40948163278783e-12,8.78082465830547e-11)
526.4 (5.27984037663119e-11,-1.11042004860883e-12,-1.16900556038658e-11)
526.6 (2.28686095695194e-11,-6.20800694737603e-13,-5.15058953224971e-12)
526.8 (-2.34311215394323e-12,3.26448270435983e-12,3.60492871422559e-11)
527 (-3.38203400127288e-11,-3.26690710976765e-12,-3.83913219466663e-11)
527.2 (-9.51676126687618e-12,3.97961233174981e-13,2.51945631872616e-12)
527.4 (2.68187264041986e-11,1.30058842851809e-12,1.40854430066609e-11)
527.6 (-1.35318110160799e-11,6.36938921786045e-13,8.45073062708707e-12)
527.8 (8.19218746537306e-12,8.25853931478538e-13,1.12332983067344e-11)
528 (-4.38504590455776e-11,-4.447963469269e-12,-4.99610247580581e-11)
528.2 (5.10790227378861e-11,-1.1631982749942e-12,-8.23246142765162e-12)
528.4 (-6.12429378691187e-11,3.36058523052771e-12,2.81318838838473e-11)
528.6 (4.02926177184573e-11,-4.62729396108494e-13,-5.53586341544544e-12)
528.8 (-4.82319928957343e-12,3.50349509554729e-13,5.80563132021519e-12)
529 (9.74102027508009e-12,3.73965103682365e-12,3.95331899654881e-11)
529.2 (-5.87815439928984e-11,-1.77390965719698e-12,-2.23584088964468e-11)
529.4 (4.41860220427946e-11,-2.34167853995825e-12,-2.16580469928832e-11)
529.6 (-2.30679550095807e-11,1.62521154065455e-12,1.51532071950395e-11)
529.8 (3.41602979160638e-11,1.43360786850297e-13,1.8715161665498e-12)
530 (-2.7085471094592e-11,-4.09370901131439e-12,-4.56710815816636e-11)
530.2 (3.24465974785191e-11,5.79497168579247e-12,6.465914186555e-11)
530.4 (-9.18485277574882e-12,-7.54220300245153e-13,-8.54007543692685e-12)
530.6 (9.66704924949979e-12,-1.08158113571285e-12,-1.243023067733e-11)
530.8 (2.95775963350224e-11,1.84139607096287e-12,2.45266599455643e-11)
531 (8.08924016870364e-12,-4.31660035691506e-12,-5.11268668289538e-11)
531.2 (-1.60291729390688e-11,3.02790151396761e-12,3.225222045482e-11)
531.4 (1.45908986956699e-11,-1.18696164310818e-13,3.69297569319813e-13)
531.6 (2.20645433359708e-11,-8.20827051204818e-13,-7.35071415962168e-12)
531.8 (-4.36269254858525e-11,1.53576215868523e-13,-2.10946810799415e-12)
532 (5.97598814897022e-11,3.64893161165337e-12,4.27174033521817e-11)
532.2 (-3.91478357888337e-11,-1.82435924348013e-12,-2.35234166473121e-11)
532.4 (-2.46965841178914e-11,-2.29477902610341e-12,-2.9831556233633e-11)
532.6 (-7.42065629638453e-11,4.02043876325438e-12,4.33609067147433e-11)
532.8 (1.50601172480628e-11,-3.3118676436866e-12,-3.19125935861033e-11)
533 (4.86732132928141e-11,6.99387414805115e-12,8.01762619539523e-11)
533.2 (-1.90157278606456e-11,-2.36605625016107e-12,-2.90176149980842e-11)
533.4 (-2.10904027213642e-11,-3.39049138523975e-12,-3.8202753831214e-11)
533.6 (-1.10727103247554e-11,-2.86645782158838e-13,-2.75893551333401e-12)
533.8 (2.45528313579995e-11,-2.0184989155297e-12,-2.52433318391067e-11)
534 (1.18202949260031e-11,3.0684742536375e-12,3.01683155371894e-11)
534.2 (9.25312640080172e-12,-4.65274839983351e-12,-4.86676688228509e-11)
534.4 (-5.4344842942362e-11,5.36085214345801e-12,5.68440042152902e-11)
534.6 (-3.0092147776204e-11,-5.77917703399885e-12,-6.91858161532398e-11)
534.8 (7.91421918310967e-11,4.34351048775418e-12,5.27853550538576e-11)
535 (-1.37682527061699e-11,-5.09917499015565e-12,-5.68282327404623e-11)
535.2 (3.31048738206657e-11,4.2051186198185e-12,4.93480037776524e-11)
535.4 (1.26805437557434e-11,-1.17641948118147e-12,-1.51276899505645e-11)
535.6 (-3.37099045665977e-11,7.27516659348689e-12,7.7292608524979e-11)
535.8 (3.65327679806586e-11,-4.83353372677446e-12,-5.0462176262546e-11)
536 (-5.69865232354873e-11,2.64820155862363e-12,2.7302944771433e-11)
536.2 (5.06768727481702e-11,9.78808340269527e-14,5.05063454364804e-12)
536.4 (5.18657926809928e-11,-7.9919602870589e-13,-1.45464272476794e-11)
536.6 (-1.34488948060653e-10,1.77035976296418e-13,3.21925607733494e-12)
536.8 (5.04371076678423e-11,-6.38937839472469e-12,-6.98192428226994e-11)
537 (2.84047646788901e-11,8.96731610785e-12,9.65912380934205e-11)
537.2 (-6.81761322369531e-11,1.12516141558237e-12,1.12768784784204e-11)
537.4 (-2.20690737997158e-11,-6.63752678983497e-12,-8.10994784048317e-11)
537.6 (1.31786612905667e-10,1.16260941331675e-11,1.36026654065671e-10)
537.8 (-1.63873918444658e-11,-1.71695860659191e-11,-1.88679931581677e-10)
538 (-5.72199820035865e-12,5.09877027490365e-12,5.07450115215222e-11)
538.2 (-3.72851821829115e-11,-6.46225715805615e-12,-5.92269245083751e-11)
538.4 (3.23065064708741e-11,9.892187008954e-12,1.00344730857425e-10)
538.6 (-1.12125109255939e-10,1.95732520152362e-13,2.04560956863961e-12)
538.8 (2.30799411997006e-11,2.89602713768115e-12,2.44756346601867e-11)
539 (1.75042937248688e-10,9.54144705443334e-13,1.60209749802447e-11)
539.2 (-1.48194731038776e-10,-4.58309017567768e-13,-1.42328828793971e-11)
539.4 (-8.2785235886136e-11,8.17858381371973e-12,9.00834333856393e-11)
539.6 (1.27753771582805e-10,-5.46146656196208e-12,-5.36258942841689e-11)
539.8 (-8.88314591906297e-11,2.32951968961639e-12,2.5700298385745e-11)
540 (1.21174437852499e-10,2.74954256966436e-12,3.96632881069918e-11)
540.2 (6.76523905298668e-11,2.14266353187993e-12,2.47529537397149e-11)
540.4 (-9.26486691591486e-11,-1.44760436785739e-11,-1.76659208902432e-10)
540.6 (8.52470277231443e-11,-4.66386853835919e-12,-5.12532099918225e-11)
540.8 (-1.39377096239497e-10,2.0128401118681e-11,2.21757763919764e-10)
541 (6.46820228854502e-11,-2.88832645660019e-12,-3.11911299126356e-11)
541.2 (-7.76279595570972e-11,-5.82992879389268e-12,-6.46872420819077e-11)
541.4 (5.28268119614591e-11,-1.92486408564148e-11,-2.07561283729047e-10)
541.6 (-1.08613797689139e-10,4.82164130241694e-12,3.37547659643052e-11)
541.8 (3.17351059293513e-13,8.38592736063224e-12,9.12101298766164e-11)
542 (1.14391450708832e-10,6.55981735172935e-12,7.66616739509296e-11)
542.2 (2.69487458705961e-11,-2.0117636245354e-12,-2.34498330090994e-11)
542.4 (-1.27315953565862e-10,5.10423751511895e-12,6.0906166379066e-11)
542.6 (1.36844169809613e-13,-1.26995571984844e-11,-1.49640390373334e-10)
542.8 (1.86001826494281e-11,5.78586091843236e-12,6.71878306249193e-11)
543 (-6.42999107342571e-13,1.32168656893081e-11,1.43625608509854e-10)
543.2 (1.39628220154407e-10,-7.78804723018043e-12,-7.86281137930958e-11)
543.4 (-5.33159666912891e-11,-1.34801975272957e-12,-2.13678085275727e-11)
543.6 (-6.34818436558416e-11,1.97706660432446e-12,1.45320404030435e-11)
543.8 (4.67006891034455e-11,-1.3776711163394e-13,-3.63438558445011e-14)
544 (3.39226189524506e-11,-4.23726516814445e-12,-3.7425387082688e-11)
544.2 (-1.89849633065076e-11,-5.32903193481304e-12,-6.7231607811933e-11)
544.4 (9.8028419990292e-11,2.39050020212015e-11,2.63601989697277e-10)
544.6 (-1.89082778426027e-10,-9.74028988372915e-12,-1.11094967556939e-10)
544.8 (6.14361811175579e-11,-8.79421098478467e-12,-9.61217203034836e-11)
545 (2.27215480386489e-11,-4.30222116869454e-12,-5.03523032420156e-11)
545.2 (-1.82496305803721e-10,6.87344639483166e-12,6.51806373513419e-11)
545.4 (1.14455202260932e-10,3.07929924656489e-12,3.42912088436883e-11)
545.6 (1.19566275775969e-11,1.83373394716544e-12,2.37663052598674e-11)
545.8 (-1.19427649272937e-10,6.09654352875547e-12,5.71384409784282e-11)
546 (1.94114045104143e-10,-6.06922335591034e-12,-5.5895591363148e-11)
546.2 (-1.25590623806231e-10,-4.40551636463632e-12,-6.31997714116708e-11)
546.4 (5.30425181873619e-11,9.53255038044149e-12,1.13161816606307e-10)
546.6 (1.13061784086454e-11,-4.44902250260232e-12,-4.92626018064959e-11)
546.8 (-1.52141579304324e-10,-6.68789860847598e-12,-8.46590915744845e-11)
